"temp","prec","therm","deficit","moisture"
"100225714010478_ereg_M221",7.11,1142.63,624.003,1873.394,-0.203
"100225809010478_ereg_M221",6.69,1048.038,826.241,1664.314,-0.01
"100226005010478_ereg_M221",6.8,1097.281,926.575,1567.821,0
"100226028010661_ereg_212",-2.473,827.748,708.874,1255.707,0.096
"100226097010478_ereg_M221",5.33,1129.458,793.952,1458.774,-1
"100226204010661_ereg_212",-2.863,835.236,691.273,1220.009,-0.716
"100226255010661_ereg_212",-2.445,816.673,694.401,1232.019,-0.304
"100226422010478_ereg_M221",10.267,1105.959,1333.897,1456.788,-0.651
"100226638010478_ereg_M221",10.992,1115.122,1163.865,1651.458,0.289
"100226815010478_ereg_M221",8.88,1112.298,1830.746,585.039,0
"100227132010478_ereg_M221",6.83,1310.368,2003.462,275.372,0.288
"100227372010478_ereg_232",7.627,1101.407,915.08,1730.158,0.196
"100227608010478_ereg_M221",7.577,1308.123,1672.331,671.346,0
"100227750010661_ereg_212",-4.6,677.042,623.64,787.017,1
"100227964010661_ereg_212",-4.433,818.082,633.668,838.322,-0.771
"100228106010478_ereg_M221",8.145,1156.915,1486.296,952.035,-0.637
"100228176010661_ereg_212",-7.485,819.648,568.513,1314.877,-0.088
"100228216010478_ereg_M221",7.197,1073.069,1275.454,1049.233,-0.927
"100228358010478_ereg_M221",10.28,984.15,601.806,2216.255,-1
"100228393010478_ereg_M221",10.715,1025.994,1171.06,1454.713,0
"100228461010478_ereg_M221",8.885,991.931,1148.814,1382.41,-0.011
"100228530010478_ereg_M221",7.525,1079.746,1416.388,942.494,-0.505
"100228544010661_ereg_212",-6.078,743.08,499.281,856.144,0
"100228625010661_ereg_212",-3.515,720.588,284.764,665.107,0.029
"100228720010478_ereg_232",10.387,1244.81,687.814,2248.801,0
"100228780010478_ereg_232",11.253,1220.563,289.85,2709.04,-0.648
"100229134010661_ereg_212",-6.625,885.907,103.284,2213.234,-0.464
"100229503010661_ereg_212",-5.508,896.379,165.339,2111.265,0.92
"100229957010478_ereg_232",9.98,1237.27,491.058,2472.913,0
"100229966010661_ereg_212",-2.36,895.505,431.938,1789.673,-0.995
"100230164010478_ereg_232",9.492,1227.678,663.004,2309.838,0
"100230742010661_ereg_212",-3.957,798.271,212.575,1785.253,0
"100231386010661_ereg_222",-5.047,807.832,120.121,2303.762,-0.298
"100231983010661_ereg_212",-7.677,832.57,146.55,1596.108,0
"100232355010661_ereg_212",-10.082,817.846,478.959,1213.665,0
"100232649010661_ereg_212",-7.58,795.89,246.438,1442.068,0
"100232690010661_ereg_212",-7.902,811.745,519.869,1201.671,1
"100232990010661_ereg_212",-6.713,781.54,157.664,1391.734,0
